,name,latitude,longitude,vicinity,Clothing,Food,Household Goods,Housing,Training and other services,Notes,website
235,"Keystone Staffing Solutions, LLC",40.4418471,-80.0055357,"Three Gateway Center, 401 Liberty Ave #2400, Pittsburgh",,,,,1.0,,http://www.keystonestaffingllc.com/
236,Kforce,40.424627,-80.040686,"Greentree Road, 875 Parkway Center Dr S suite 760, Pittsburgh",,,,,1.0,,https://www.kforce.com/
237,Kingsley Association,40.4612731,-79.91519919999999,"6435 Frankstown Ave, Pittsburgh",,,,,1.0,,http://kingsleyassociation.org/
238,Krown Employment Services Llc,40.4568674,-79.9919489,"801 Vinial St #102, Pittsburgh",,,,,1.0,,https://www.krownempsvc.com/
239,LIHEAP Allegheney County,40.4618572,-79.9252604,"5947 Penn Ave, Pittsburgh",,1.0,,,,,http://www.dhs.pa.gov/
240,Labyrinth/Community Garden,40.4427783,-79.8913939,"322 Franklin Ave, Pittsburgh",,1.0,,,,,
241,Lake Point Shelter,40.4802097,-79.90980309999999,"Lake Dr, Pittsburgh",,,,1.0,,,https://pittsburghpa.gov/park-shelter/reserve
242,Langley Library,40.4460138,-79.9532194,"4249 Fifth Ave, Pittsburgh",,,,,1.0,,http://library.pitt.edu/
243,Larimer Community Garden and Urban Farm,40.4644279,-79.9155097,"413 Larimer Ave, Pittsburgh",,1.0,,,,,http://cargocollective.com/akshay/Larimer-Community-Garden
244,Larimer Consensus Group,40.4608656,-79.9154182,"200 Larimer Ave, Pittsburgh",,,,,1.0,,http://www.thelarimerconsensusgroup.org/
245,Latino Community Center,40.4431552,-79.99822449999999,"212 9th St, Pittsburgh",,,,,1.0,,http://www.latinocommunitycenter.org/
246,Lauri Ann West Community Center,40.5137579,-79.8573179,"1220 Powers Run Rd, Pittsburgh",,,,,1.0,,http://www.lauriannwestcc.org/
247,Liberty Hall,40.4239527,-79.969768,"2604 Josephine St, Pittsburgh",,,,,1.0,,
248,Library of Accessible Media for Pennsylvanians (LAMP),40.453817,-79.94918299999999,"4724 Baum Blvd, Pittsburgh",,,,,1.0,,https://www.carnegielibrary.org/
249,Life's Work of Western PA,40.42954599999999,-79.9697503,"2403 Sidney St, Pittsburgh",,,,,1.0,,https://www.lifesworkwpa.org/
250,Light Of Life Rescue Mission - Food Distribution Center,40.4516366,-80.0169993,"913 Western Ave, Pittsburgh",,1.0,,,,,http://www.lightoflife.org/
251,Light of Life Donation Center,40.4507331,-80.0108032,"635 Ridge Ave, Pittsburgh",1.0,1.0,,1.0,,,https://www.lightoflife.org/waystogive/needs/
252,Light of Life Rescue Mission,40.4508014,-79.996034,"234 Voeghtly St, Pittsburgh",,,,1.0,,,https://www.lightoflife.org/
253,Light of Life Rescue Mission,40.4558077,-80.0061168,"10 E North Ave, Pittsburgh",,1.0,,1.0,,,http://www.lightoflife.org/
254,Light of Life Rescue Mission,40.45167,-80.0170299,"913 Western Ave, Pittsburgh",,,,1.0,,,https://www.lightoflife.org/
255,Limbach Community Center,40.4568629,-79.9968902,"820 Tripoli St, Pittsburgh",,,,,1.0,,
256,Lincoln Park Community Center Food Pantry - Food Distribution Center,40.4676338,-79.88584519999999,"7300 Ridgeview Ave, Pittsburgh",,1.0,,,,,http://www.lincolnparkcommunitycenter.com
257,LinkedIn Profile & Resume Writing Services,40.4590674,-79.9172588,"6401 Penn Ave Third Floor, Pittsburgh",,,,,1.0,,https://klaxos.com/linkedin-profile-writer/pittsburgh-office/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB%20Pittsburgh
258,Lippman Library,40.4479598,-79.9435565,"4905 Fifth Ave, Pittsburgh",,,,,1.0,,https://www.rodefshalom.org/lippman-library
259,Literacy Pittsburgh,40.4428627,-79.99641199999999,"411 Seventh Ave Ste. 525, Pittsburgh",,,,,1.0,,http://www.literacypittsburgh.org/
260,Literacy Pittsburgh,40.4502791,-79.929554,"5701 Fifth Ave, Pittsburgh",,,,,1.0,,http://www.literacypittsburgh.org/
261,Little Bird House Library,40.4634296,-79.94527599999999,"241 S Millvale Ave, Pittsburgh",,,,,1.0,,
262,Little Free Library #129992,40.42786030000001,-79.8462069,"3929 Greensburg Pike, Pittsburgh",,,,,1.0,,
263,Locust Grove Shelter,40.4852353,-80.0221755,Pittsburgh,,,,1.0,,,http://www.pittsburghparks.org/riverview-park
264,Magee Recreation Center,40.4243888,-79.93682489999999,"745 Greenfield Ave, Pittsburgh",,,,,1.0,,http://pittsburghpa.gov/citiparks/parks.html
265,McCandless Organic Community Garden,40.4806017,-79.9523109,"McCandless Ave &, Natrona Way, Pittsburgh",,1.0,,,,,
266,McKinley Park Shelter House,40.4141082,-80.0040969,"900 Delmont Ave, Pittsburgh",,,,1.0,1.0,,
267,Mellon Institute Library,40.446138,-79.951044,"4400 Fifth Ave, Pittsburgh",,,,,1.0,,http://search.library.cmu.edu/
268,Michael's Place - Food Distribution Center,40.4397692,-79.99126679999999,"109 Washington Pl, Pittsburgh",,1.0,,,,,
269,Mikvah-Jewish Women's League,40.4302319,-79.92045,"2336 Shady Ave, Pittsburgh",,,,1.0,,,https://pittsburghmikvah.org/
270,Mrs. Wright's Closet,40.388898,-79.985434,"2306 Brownsville Rd, Pittsburgh",1.0,,,,,,
271,Mt Lebanon Public Library,40.3770922,-80.0451774,"16 Castle Shannon Blvd, Pittsburgh",,,,,1.0,,
272,Muslim Women's Association of Pittsburgh,40.4521439,-79.9523806,"1/2 N Craig St, Pittsburgh",,,,1.0,,,http://www.mwaofpittsburgh.org/make-a-difference.html
273,Naomi Place Transitional,40.467645,-79.92383,"601 N Beatty St, Pittsburgh",,,,1.0,,,https://www.naomisplaceinc.com/
274,National Council-Jewish Women,40.4218923,-79.88853019999999,"1913 Monongahela Ave, Pittsburgh",,,,1.0,,,http://www.ncjwpgh.org/
